issue_key,issue_type,priority,status,component,project,reporter,assignee,story_points,resolution_hours,comments_count,watchers,reopened,sprint,label
PROJ-D-1060,Story,Critical,Won't Fix,Frontend,PROJ-B,user_17,dev_10,21.0,13.9,5,3,0,Sprint 13,ux
PROJ-B-1061,Bug,Medium,Closed,Database,PROJ-C,user_18,dev_12,,43.5,4,4,0,,backend
PROJ-B-1062,Improvement,Low,Duplicate,Auth,PROJ-C,user_7,dev_8,,55.6,0,1,0,,tech-debt
PROJ-A-1063,Bug,Medium,Done,Database,PROJ-A,user_4,dev_11,,70.4,1,2,0,,security
PROJ-D-1064,Bug,Critical,Resolved,Frontend,PROJ-D,user_5,dev_14,,0.8,4,9,0,,ux
PROJ-C-1065,Story,Low,Done,Auth,PROJ-C,user_23,dev_10,13.0,802.3,2,1,0,Sprint 6,backend
PROJ-C-1066,Bug,High,Resolved,Frontend,PROJ-D,user_16,,,46.6,5,4,1,,performance
PROJ-B-1067,Task,High,Done,Backend,PROJ-B,user_3,dev_9,,71.5,8,2,0,Sprint 14,frontend
PROJ-A-1068,Bug,High,Closed,Frontend,PROJ-A,user_18,dev_1,,33.5,3,3,0,,frontend
PROJ-D-1069,Sub-task,Medium,Done,Mobile,PROJ-B,user_23,dev_7,2.0,51.4,3,4,0,Sprint 1,backend
PROJ-C-1070,Task,Medium,Done,Mobile,PROJ-B,user_21,dev_8,,61.6,2,1,0,Sprint 4,regression
PROJ-C-1071,Bug,Medium,Resolved,Database,PROJ-A,user_14,dev_3,,12.1,1,3,0,,tech-debt
PROJ-D-1072,Bug,High,Won't Fix,API,PROJ-B,user_15,dev_14,,8.3,3,6,1,,performance
PROJ-A-1073,Improvement,Low,Done,Frontend,PROJ-A,user_17,dev_4,,7.9,0,1,0,,backend
PROJ-B-1074,Task,Low,Won't Fix,Infra,PROJ-D,user_1,dev_13,,95.6,2,3,0,Sprint 22,
PROJ-D-1075,Task,Low,Done,Mobile,PROJ-B,user_21,dev_3,,188.0,0,2,0,Sprint 18,frontend
PROJ-D-1076,Task,High,Resolved,Testing,PROJ-A,user_17,dev_7,,0.8,7,1,0,Sprint 11,performance
PROJ-D-1077,Bug,Medium,Duplicate,API,PROJ-C,user_23,dev_9,,7.4,2,2,0,,regression
PROJ-B-1078,Bug,Low,Done,Backend,PROJ-B,user_11,dev_3,,54.3,1,1,0,,performance
PROJ-C-1079,Bug,Medium,Done,Auth,PROJ-D,user_17,dev_13,,74.5,0,2,0,,
PROJ-D-1080,Improvement,Critical,Done,Auth,PROJ-A,user_14,dev_6,,2.3,7,2,0,,backend
PROJ-D-1081,Story,Critical,Done,Mobile,PROJ-B,user_20,dev_8,13.0,5.0,10,7,0,Sprint 11,flaky-test
PROJ-D-1082,Bug,Medium,Resolved,API,PROJ-B,user_19,dev_6,,34.7,1,5,1,,
PROJ-D-1083,Bug,Low,Resolved,Mobile,PROJ-B,user_21,dev_2,,103.3,2,2,0,,tech-debt
PROJ-A-1084,Bug,Medium,Duplicate,Auth,PROJ-D,user_7,dev_13,,2.9,1,3,0,,
PROJ-A-1085,Bug,Medium,Done,Testing,PROJ-A,user_24,dev_7,,11.5,3,2,0,,tech-debt
PROJ-A-1086,Task,High,Closed,Frontend,PROJ-C,user_13,dev_2,,62.5,5,1,0,Sprint 8,ux
PROJ-C-1087,Task,Medium,Done,API,PROJ-C,user_18,dev_2,,10.6,3,3,0,Sprint 4,backend
PROJ-D-1088,Improvement,Low,Won't Fix,Database,PROJ-C,user_23,dev_2,,140.6,0,3,0,,backend
PROJ-D-1089,Story,Medium,Done,Frontend,PROJ-A,user_14,dev_11,8.0,90.6,4,1,0,Sprint 2,tech-debt
PROJ-D-1090,Bug,Medium,Duplicate,Frontend,PROJ-C,user_1,dev_1,,203.9,4,7,0,,flaky-test
PROJ-D-1091,Task,Low,Done,Frontend,PROJ-D,user_7,dev_14,,310.5,0,1,0,Sprint 1,ux
PROJ-B-1092,Task,High,Closed,Database,PROJ-A,user_8,dev_11,,3.6,6,5,0,Sprint 24,
PROJ-B-1093,Story,Medium,Done,Testing,PROJ-B,user_18,dev_1,3.0,13.0,3,2,0,Sprint 10,performance
PROJ-B-1094,Task,High,Won't Fix,Backend,PROJ-D,user_9,dev_14,,12.7,4,1,0,Sprint 17,
PROJ-D-1095,Story,Low,Closed,Testing,PROJ-B,user_1,dev_7,3.0,328.9,1,1,0,Sprint 7,security
PROJ-B-1096,Story,Medium,Resolved,Testing,PROJ-C,user_22,dev_13,13.0,108.2,4,2,0,Sprint 7,regression
PROJ-B-1097,Story,Medium,Closed,Testing,PROJ-D,user_17,dev_14,8.0,137.5,2,1,0,Sprint 13,
PROJ-C-1098,Bug,Low,Done,Infra,PROJ-A,user_19,dev_14,,136.6,1,2,1,,security
PROJ-C-1099,Bug,Medium,Done,Mobile,PROJ-D,user_6,dev_14,,57.7,0,1,0,,
PROJ-B-1100,Bug,Low,Resolved,Auth,PROJ-B,user_3,dev_12,,60.2,1,1,0,,security
PROJ-B-1101,Task,Medium,Done,Mobile,PROJ-A,user_24,dev_5,,25.0,4,1,0,Sprint 22,tech-debt
PROJ-C-1102,Bug,High,Resolved,API,PROJ-D,user_5,dev_11,,5.6,3,4,0,,
PROJ-B-1103,Story,Medium,Closed,Testing,PROJ-D,user_2,dev_3,1.0,20.3,6,4,0,Sprint 24,performance
PROJ-D-1104,Improvement,Low,Done,Backend,PROJ-D,user_20,dev_1,,153.7,1,1,0,,tech-debt
PROJ-B-1105,Bug,High,Closed,API,PROJ-D,user_4,dev_11,,6.9,3,5,0,,
PROJ-D-1106,Story,Low,Closed,Mobile,PROJ-A,user_10,dev_10,8.0,199.0,1,1,0,Sprint 1,performance
PROJ-B-1107,Task,Low,Resolved,Auth,PROJ-B,user_10,dev_6,,309.7,4,1,0,Sprint 1,
PROJ-A-1108,Bug,High,Resolved,Database,PROJ-D,user_24,dev_11,,45.4,5,6,0,,ux
PROJ-B-1109,Bug,Low,Done,Mobile,PROJ-A,user_21,dev_1,,51.1,0,3,1,,backend
PROJ-A-1110,Bug,High,Won't Fix,Frontend,PROJ-B,user_11,dev_9,,16.3,3,5,0,,regression
PROJ-B-1111,Bug,High,Done,Mobile,PROJ-D,user_16,dev_2,,5.6,7,1,1,,
PROJ-B-1112,Epic,High,Won't Fix,Frontend,PROJ-B,user_17,dev_1,5.0,116.4,6,4,0,,frontend
PROJ-D-1113,Task,Low,Done,Database,PROJ-B,user_16,dev_12,,109.2,2,1,0,Sprint 13,performance
PROJ-C-1114,Task,Medium,Done,Mobile,PROJ-A,user_7,dev_7,,128.6,2,6,0,Sprint 1,
PROJ-C-1115,Improvement,High,Closed,Backend,PROJ-B,user_16,dev_6,,5.5,4,9,0,,backend
PROJ-D-1116,Task,Medium,Done,Backend,PROJ-A,user_3,,,182.4,0,2,0,Sprint 6,
PROJ-C-1117,Bug,Medium,Duplicate,API,PROJ-D,user_16,dev_14,,157.4,1,3,1,,regression
PROJ-A-1118,Improvement,High,Done,Database,PROJ-B,user_8,dev_5,,40.5,4,2,0,,ux
PROJ-A-1119,Story,Low,Done,Testing,PROJ-B,user_12,dev_11,13.0,11.4,2,2,0,Sprint 23,
PROJ-B-1120,Task,Low,Done,Backend,PROJ-C,user_3,dev_4,,267.4,0,4,0,Sprint 10,frontend
PROJ-A-1121,Improvement,Medium,Done,Mobile,PROJ-D,user_17,dev_11,,56.9,1,3,0,,
PROJ-C-1122,Bug,Low,Closed,Database,PROJ-D,user_21,dev_4,,22.4,0,2,0,,tech-debt
PROJ-A-1123,Bug,Medium,Closed,Auth,PROJ-C,user_18,dev_3,,55.1,1,3,1,,
PROJ-B-1124,Bug,Low,Done,Frontend,PROJ-C,user_11,dev_10,,29.7,1,1,0,,performance
PROJ-A-1125,Story,Medium,Done,Mobile,PROJ-A,user_4,dev_8,8.0,180.5,3,3,0,Sprint 21,regression
PROJ-C-1126,Improvement,Medium,Done,Frontend,PROJ-A,user_16,dev_7,,18.6,3,1,1,,regression
PROJ-D-1127,Improvement,High,Done,Frontend,PROJ-B,user_17,dev_9,,22.7,3,2,0,,
PROJ-B-1128,Bug,Low,Resolved,Testing,PROJ-B,user_9,dev_1,,106.4,1,1,0,,regression
PROJ-D-1129,Story,Medium,Resolved,Database,PROJ-B,user_6,dev_7,1.0,184.9,4,3,1,Sprint 1,tech-debt
PROJ-A-1130,Story,High,Resolved,Database,PROJ-B,user_24,dev_10,8.0,40.6,3,5,0,Sprint 5,ux
PROJ-B-1131,Bug,Critical,Duplicate,API,PROJ-A,user_20,dev_4,,0.8,9,5,0,,
PROJ-B-1132,Bug,Medium,Won't Fix,Frontend,PROJ-D,user_2,dev_7,,76.5,3,2,1,,
PROJ-A-1133,Bug,Medium,Done,API,PROJ-B,user_9,dev_13,,14.0,2,3,0,,tech-debt
PROJ-B-1134,Epic,Medium,Done,Testing,PROJ-D,user_21,dev_12,3.0,405.0,2,1,0,,performance
PROJ-A-1135,Bug,Low,Won't Fix,Frontend,PROJ-B,user_6,dev_1,,41.4,1,1,0,,flaky-test
PROJ-D-1136,Story,Critical,Closed,API,PROJ-C,user_3,dev_5,2.0,29.5,15,3,0,Sprint 22,backend
PROJ-D-1137,Task,Medium,Done,API,PROJ-B,user_20,dev_3,,27.9,4,1,0,Sprint 2,security
PROJ-C-1138,Bug,High,Closed,Auth,PROJ-B,user_6,dev_5,,14.2,0,5,0,,ux
PROJ-C-1139,Sub-task,Low,Duplicate,API,PROJ-B,user_7,dev_4,3.0,178.8,1,2,0,Sprint 3,flaky-test
PROJ-A-1140,Sub-task,Low,Resolved,Database,PROJ-A,user_1,dev_2,3.0,101.6,3,1,0,Sprint 23,regression
PROJ-A-1141,Bug,Medium,Done,API,PROJ-C,user_23,dev_11,,16.3,4,1,0,,regression
PROJ-D-1142,Story,Medium,Duplicate,Frontend,PROJ-B,user_1,dev_4,2.0,89.6,1,7,0,Sprint 3,frontend
PROJ-B-1143,Bug,High,Duplicate,API,PROJ-B,user_5,dev_3,,1.0,6,1,0,,
PROJ-A-1144,Bug,Medium,Done,Backend,PROJ-D,user_6,dev_13,,79.1,3,1,0,,frontend
PROJ-B-1145,Bug,Low,Won't Fix,Infra,PROJ-C,user_13,dev_1,,347.5,0,1,0,,frontend
PROJ-C-1146,Story,Medium,Won't Fix,Frontend,PROJ-B,user_2,dev_12,21.0,107.8,3,5,0,Sprint 18,
PROJ-D-1147,Story,Medium,Done,Backend,PROJ-D,user_15,dev_10,8.0,29.9,5,3,0,Sprint 23,tech-debt
PROJ-A-1148,Bug,Medium,Resolved,Testing,PROJ-D,user_15,dev_8,,32.6,2,3,0,,flaky-test
PROJ-C-1149,Bug,Low,Done,Frontend,PROJ-A,user_13,dev_5,,42.6,1,1,0,,backend
PROJ-A-1150,Improvement,Medium,Resolved,Database,PROJ-D,user_14,dev_4,,186.4,1,3,0,,
PROJ-C-1151,Bug,High,Won't Fix,Infra,PROJ-B,user_22,dev_10,,23.6,1,3,0,,
PROJ-D-1152,Bug,Medium,Done,Infra,PROJ-A,user_7,dev_12,,65.6,8,1,1,,
PROJ-A-1153,Story,Low,Done,Database,PROJ-A,user_14,dev_5,5.0,131.3,1,1,0,Sprint 8,tech-debt
PROJ-A-1154,Sub-task,High,Won't Fix,Infra,PROJ-B,user_24,dev_4,1.0,0.5,3,5,0,Sprint 9,
PROJ-B-1155,Bug,High,Duplicate,Database,PROJ-C,user_10,dev_3,,10.4,6,4,0,,security
PROJ-B-1156,Task,High,Done,Backend,PROJ-D,user_17,dev_5,,2.1,2,4,0,Sprint 2,ux
PROJ-A-1157,Task,Medium,Won't Fix,Testing,PROJ-A,user_14,dev_4,,21.7,1,2,0,Sprint 2,
PROJ-D-1158,Bug,Medium,Done,Auth,PROJ-C,user_8,dev_1,,80.5,3,3,1,,ux
PROJ-B-1159,Task,Medium,Done,Frontend,PROJ-B,user_4,dev_12,,32.8,7,2,1,Sprint 16,
PROJ-A-1160,Bug,Medium,Resolved,Database,PROJ-D,user_16,dev_3,,74.6,4,2,0,,
PROJ-A-1161,Task,Medium,Resolved,Frontend,PROJ-D,user_24,dev_10,,43.8,2,2,0,Sprint 7,tech-debt
PROJ-C-1162,Task,Medium,Resolved,Testing,PROJ-A,user_13,dev_10,,57.1,2,2,0,Sprint 4,
PROJ-D-1163,Story,Low,Done,Backend,PROJ-D,user_22,,1.0,90.8,1,1,0,Sprint 5,regression
PROJ-B-1164,Bug,Medium,Done,Auth,PROJ-D,user_20,dev_7,,214.5,2,1,0,,
PROJ-B-1165,Improvement,Low,Won't Fix,Testing,PROJ-D,user_18,dev_2,,1.8,1,1,0,,
PROJ-C-1166,Bug,Medium,Done,Backend,PROJ-D,user_14,dev_1,,13.4,2,1,0,,
PROJ-A-1167,Bug,High,Done,Infra,PROJ-B,user_18,,,11.9,5,1,0,,
PROJ-B-1168,Bug,Medium,Resolved,Frontend,PROJ-C,user_5,dev_5,,11.1,5,2,0,,backend
PROJ-A-1169,Story,High,Closed,Mobile,PROJ-B,user_9,dev_10,8.0,24.3,6,4,0,Sprint 1,flaky-test
PROJ-B-1170,Task,Medium,Done,Auth,PROJ-B,user_3,dev_11,,11.7,1,1,0,Sprint 22,
PROJ-B-1171,Bug,Critical,Done,Infra,PROJ-A,user_8,dev_12,,30.7,13,3,0,,security
PROJ-A-1172,Story,High,Won't Fix,Testing,PROJ-D,user_20,dev_1,2.0,52.5,5,5,0,Sprint 10,security
PROJ-A-1173,Bug,Low,Duplicate,Auth,PROJ-B,user_22,dev_3,,133.7,0,1,0,,ux
PROJ-B-1174,Task,High,Done,Infra,PROJ-D,user_10,dev_3,,18.6,7,8,0,Sprint 13,tech-debt
PROJ-C-1175,Bug,Low,Closed,Backend,PROJ-B,user_22,dev_5,,7.2,1,1,0,,
PROJ-C-1176,Task,High,Done,Database,PROJ-B,user_19,dev_3,,3.4,6,2,0,Sprint 24,ux
PROJ-C-1177,Story,Medium,Resolved,Frontend,PROJ-A,user_21,dev_13,3.0,50.1,3,4,0,Sprint 15,security
PROJ-C-1178,Epic,Medium,Done,API,PROJ-C,user_3,dev_9,5.0,263.7,5,4,0,,tech-debt
PROJ-C-1179,Bug,Medium,Resolved,API,PROJ-C,user_11,dev_1,,28.0,5,1,0,,
PROJ-A-1180,Bug,High,Closed,Backend,PROJ-B,user_11,dev_4,,5.6,4,1,0,,ux
PROJ-B-1181,Bug,High,Closed,Testing,PROJ-A,user_17,dev_13,,8.9,2,8,1,,tech-debt
PROJ-C-1182,Epic,Critical,Won't Fix,Frontend,PROJ-D,user_16,dev_13,21.0,20.9,6,5,0,,backend
PROJ-D-1183,Improvement,High,Done,Testing,PROJ-D,user_7,dev_10,,8.3,2,2,0,,performance
PROJ-B-1184,Bug,Medium,Resolved,Frontend,PROJ-B,user_4,dev_10,,9.6,1,1,0,,flaky-test
PROJ-D-1185,Task,Low,Done,Backend,PROJ-C,user_23,dev_4,,145.8,0,1,0,Sprint 1,backend
PROJ-A-1186,Improvement,Low,Done,Frontend,PROJ-A,user_19,dev_1,,43.2,1,1,0,,
PROJ-B-1187,Story,Medium,Done,Database,PROJ-C,user_12,dev_14,8.0,28.7,3,2,0,Sprint 18,ux
PROJ-A-1188,Story,Low,Done,Testing,PROJ-D,user_15,dev_2,8.0,352.7,1,1,0,Sprint 23,regression
PROJ-D-1189,Bug,Medium,Done,Backend,PROJ-C,user_11,dev_11,,5.3,2,1,0,,backend
PROJ-B-1190,Bug,High,Resolved,Database,PROJ-D,user_5,dev_1,,6.9,7,8,0,,flaky-test
PROJ-B-1191,Improvement,Low,Closed,Frontend,PROJ-A,user_5,dev_6,,91.6,2,1,0,,
PROJ-A-1192,Improvement,Medium,Won't Fix,Backend,PROJ-A,user_15,dev_3,,27.0,4,3,0,,
PROJ-B-1193,Task,Medium,Closed,Frontend,PROJ-B,user_18,dev_7,,54.3,4,3,0,Sprint 14,performance
PROJ-D-1194,Bug,High,Done,Testing,PROJ-B,user_11,dev_5,,64.9,6,4,0,,security
PROJ-A-1195,Bug,Medium,Done,Backend,PROJ-C,user_12,dev_9,,166.5,1,2,0,,backend
PROJ-D-1196,Task,Medium,Won't Fix,Frontend,PROJ-A,user_2,dev_7,,7.6,7,1,0,Sprint 18,security
PROJ-B-1197,Improvement,Low,Done,Testing,PROJ-A,user_20,dev_4,,51.3,1,1,0,,ux
PROJ-D-1198,Improvement,Medium,Done,Database,PROJ-B,user_15,dev_5,,334.3,3,3,0,,flaky-test
PROJ-B-1199,Task,Medium,Done,Mobile,PROJ-D,user_20,dev_5,,22.7,3,4,0,Sprint 22,ux
PROJ-D-1200,Task,Low,Done,Database,PROJ-C,user_4,dev_11,,389.5,1,1,0,Sprint 12,tech-debt
PROJ-D-1201,Bug,High,Closed,Frontend,PROJ-C,user_22,dev_5,,4.7,7,5,1,,flaky-test
PROJ-C-1202,Bug,Medium,Done,Backend,PROJ-B,user_18,dev_10,,25.4,2,1,0,,backend
PROJ-B-1203,Improvement,Critical,Closed,API,PROJ-A,user_6,dev_9,,13.2,7,6,0,,frontend
PROJ-C-1204,Story,Medium,Done,Database,PROJ-B,user_23,dev_10,3.0,209.5,2,1,0,Sprint 12,flaky-test
PROJ-C-1205,Bug,Low,Resolved,Database,PROJ-B,user_19,,,86.4,0,1,0,,performance
PROJ-A-1206,Bug,High,Resolved,Testing,PROJ-B,user_11,dev_6,,9.2,8,6,0,,frontend
PROJ-A-1207,Task,Low,Resolved,Infra,PROJ-B,user_24,dev_8,,39.9,4,1,0,Sprint 5,
PROJ-D-1208,Bug,High,Done,API,PROJ-D,user_2,dev_11,,12.2,7,7,0,,
PROJ-B-1209,Bug,Low,Done,Frontend,PROJ-D,user_8,dev_9,,18.1,1,1,1,,
PROJ-A-1210,Story,Medium,Resolved,Mobile,PROJ-A,user_11,dev_13,5.0,153.3,8,4,1,Sprint 7,tech-debt
PROJ-C-1211,Task,Low,Done,Backend,PROJ-B,user_5,dev_7,,141.7,1,3,1,Sprint 24,tech-debt
PROJ-B-1212,Task,Critical,Done,Infra,PROJ-D,user_18,dev_12,,3.8,8,8,0,Sprint 13,performance
PROJ-D-1213,Bug,Low,Won't Fix,Frontend,PROJ-A,user_23,dev_3,,61.1,1,1,1,,
PROJ-D-1214,Task,Medium,Duplicate,Auth,PROJ-B,user_18,dev_1,,267.4,6,1,0,Sprint 9,
PROJ-A-1215,Bug,High,Won't Fix,Mobile,PROJ-C,user_14,dev_4,,12.2,5,3,0,,
PROJ-A-1216,Bug,Low,Duplicate,Database,PROJ-D,user_22,dev_13,,90.1,0,1,1,,tech-debt
PROJ-A-1217,Task,High,Won't Fix,Auth,PROJ-A,user_10,dev_6,,18.5,5,1,0,Sprint 6,frontend
PROJ-D-1218,Task,Low,Resolved,Database,PROJ-C,user_3,dev_3,,461.5,1,1,0,Sprint 21,flaky-test
PROJ-C-1219,Improvement,High,Done,Database,PROJ-B,user_9,dev_14,,25.6,4,6,0,,tech-debt
PROJ-A-1220,Task,Medium,Duplicate,Auth,PROJ-B,user_3,dev_1,,272.8,7,1,0,Sprint 7,flaky-test
PROJ-D-1221,Story,Medium,Won't Fix,Mobile,PROJ-B,user_11,dev_6,13.0,5.8,4,2,0,Sprint 18,
PROJ-B-1222,Bug,High,Done,Testing,PROJ-D,user_12,dev_14,,94.9,7,2,0,,flaky-test
PROJ-D-1223,Bug,High,Done,Auth,PROJ-A,user_12,dev_1,,1.4,3,6,0,,flaky-test
PROJ-B-1224,Bug,Critical,Done,Frontend,PROJ-C,user_3,dev_9,,1.1,8,3,0,,backend
PROJ-B-1225,Bug,Medium,Duplicate,Infra,PROJ-A,user_21,dev_11,,83.7,2,3,0,,frontend
PROJ-C-1226,Sub-task,High,Closed,Infra,PROJ-D,user_7,dev_14,3.0,50.2,5,4,0,Sprint 15,ux
PROJ-A-1227,Story,Medium,Done,Auth,PROJ-A,user_14,dev_12,8.0,90.0,4,1,0,Sprint 8,
PROJ-B-1228,Improvement,High,Done,Frontend,PROJ-D,user_24,dev_1,,15.2,3,3,0,,backend
PROJ-A-1229,Task,High,Duplicate,Testing,PROJ-B,user_11,dev_13,,24.1,9,3,0,Sprint 20,
PROJ-D-1230,Task,Medium,Closed,Infra,PROJ-C,user_7,dev_6,,116.7,2,4,0,Sprint 16,flaky-test
PROJ-A-1231,Story,Critical,Done,Frontend,PROJ-B,user_21,dev_1,8.0,8.2,2,8,0,Sprint 17,ux
PROJ-D-1232,Story,Low,Done,Testing,PROJ-A,user_10,dev_12,13.0,148.8,1,4,0,Sprint 3,ux
